BD Parkinsons,,,,
Arquitectura,Media Err. Train,Desv. Tipica Err. Train,Media Err. Test,Desv. Tipica Err. Test
1,0.00777673,0.00121271,0.0101671,0.00159433
2,0.0774687,0.00470386,0.0813506,0.0117306
3,0.0686356,0.0154182,0.133064,0.0536305
4,0.0106342,0.000773938,0.0127491,0.000635253
5,0.0761636,0.00480166,0.0853338,0.0193337
6,0.0678126,0.0149626,0.131385,0.0499798
