Arquitectura,Media Er. Train,Desv. T. Er. Train,Media Er. Test,Desv. T. Er. Test
{n:64:k},2.82261,0.384674,2.76734,0.408199
,,,,
Arquitectura,Media CCR Train,Desv. T. CCR Train,Media CCR Test,Desv. T. CCR Test
{n:64:k},18.2222,3.17008,18.3333,3.54338
